"File","Line","Method","What","Purpose"
"GRM_Hyperlinks.lua","28","HL.GenerateHyperlink ( string , string , [string] , string , [string] )","Returns a hyperlink of text built with your parameters.","Useful for custom actions through hyperlinks in chat."
"GRM_Hyperlinks.lua","51","HL.HyperlinkClick ( ... )","Activates the action of the hyperlink clicked for all GRM hyperlinks.","Quality of life for GRM"
"GRM_Localization.lua","84","GRML.GetFontNameFromLocation ( string )","Parses out the name of the font from the file","To be able to identify any font..."
"GRM_Localization.lua","153","GRM.ConfigureAlternativeSlashCommands()","Allows the creation of custom slash command.","Localization reasons."
"GRM_Localization.lua","168","GRML.SetNewLanguage ( int , boolean , boolean )","It establishes both the appropriate region font, and a modifier for the Mandarin text","To be able to have an in-game UI option to change the player language."
"GRM_Localization.lua","195","GRML.SetFontModifier()","Since different custom fonts represent font height differently, this normalizes the fonts, relatively close","Consistency, as some fonts would be super tiny otherwise."
"GRM_Localization.lua","227","GRML.SetNewFont( int )","Establishes a new font","More player customization controls!!!"
"GRM_Localization.lua","239","GRML.GetFontChoice() -- Not necessary for the most part as I can use ""STANDARD_TEXT_FONT"" - but, just in case...","Selects the proper font for the given locale of the addon user.","To ensure no ???? are in place and all characters are accounted for."
"GRM_Localization.lua","272","GRML.GetNumberUntranslatedLines ( int )","It returns the number of language lines that need to be translated","To help reach out to the community to build an effort for crowdsupport for translation efforts."
"GRM_Localization.lua","288","LOC.ReprocessStrings()","Reprocesses On Demand loaded strings","Assist in localization on the fly. Houses all string reprocess functions."
"GRM_Log.lua","9","Log.AddPromotionDateTempLogEntry ( bool , string , string , string , string , array )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","18","Log.AddDemotionDateTempLogEntry ( bool , string , string , string , string , array )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","27","Log.AddLeveledTempLogEntry ( string , int , int , int , array , bool )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","36","Log.AddNoteTempLogEntry ( string , string , string , array )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","44","Log.AddOfficerNoteTempLogEntry ( string , string , string , array )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","52","Log.AddInactiveReturnTempLogEntry ( string , string , string , array )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","60","Log.AddNameChangeTempLogEntry ( string , string , string , array )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","68","Log.AddBanRejoinEntry ( ... )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","82","Log.AddNormalRejoinEntry ( ... )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","97","Log.AddJoinEntry ( bool , string , string , array , bool , int )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","106","Log.AddEventEntry ( int , string , string , int , bool , string , array , int )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","117","Log.AddHardcoreDeathEntry ( int , string , string , int , int , int , int )","Adds an entry for reporting to the log on Hardcore Mode deaths","Enable reporting to the log"
"GRM_Log.lua","125","Log.AddRankRenameEntry ( int , string , string , array )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","133","Log.AddEventRecommendKickTempLogEntry ( string , int , array , array )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","141","Log.AddEventRecommendPromotionLogEntry ( string , int , array , array )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","150","Log.AddEventRecommendDemotionLogEntry ( string , int , array , array )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","158","Log.AddEventRecommendSpecialLogEntry ( int , array )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","166","Log.AddLeftOrKickEntry ( string , bool , string , array , array , string , string , string , array , bool )","","By adding all the metadata the string can be re-processed if the player changes their preferred date format or language."
"GRM_Log.lua","178","Log.AddLog( list , string )","Adds a simple list to the Logreport that includes the indexcode for color, and the included changes as a string","For ease in adding to the core log."
"GRM_Macro_Tool.lua","199","GRM_UI.SetRankNamesToCustomRuleCheckButtons( int , bool )","Sets all the custom rules checkbox to the rank names","Keep rank names set properly."
"GRM_Macro_Tool.lua","1137","GRM_R.SelectAllRuleLogic ( buttonLogic )","Activates and Deactivates all the rules in that category","Quality of life convenience to enable or disable all rules."
"GRM_Macro_Tool.lua","1234","GRM_UI.LoadToolFrames ( boolean )","Holds the load of all frames unless ""OnShow"" of the GRM_ToolCoreFrame for compartmentalized rebuilding.","More efficient resource use, also, a need to recall and reload the frames if on a language or font/font size change."
"GRM_Macro_Tool.lua","1309","GRM_Macro.CustomMessageToPlayerNote()","Checks if any custom messages need to be add to player notes","Demote rule fulfillment"
"GRM_Macro_Tool.lua","2276","GRM_UI.ConfigureToolTab()","Locks the selected tab highlighted","UX feature"
"GRM_Macro_Tool.lua","2519","GRM_R.SetRuleCheckedStatus()","Returns a numeric indication of the rule status for checkbox quality logic","I need to know how to set the Enable all or Disable all checkbox"
"GRM_Macro_Tool.lua","3103","GRM_UI.SetRankCustomRuleFilters()","Applies the custom rules selected ranks","Set the rules properly as they are used."
"GRM_Macro_Tool.lua","3134","GRM_UI.SetDefaultRankFilters()","Sets all the default rules to true and puts all the buttons as checked, even though they are disabled",""
"GRM_Macro_Tool.lua","3186","GRM_UI.EnableCustomSelectionOfRanks()","Activates the checkboxes so individual ranks can be selected.","Allow custom rank filtering."
"GRM_Macro_Tool.lua","3212","GRM_UI.DisableLevelSelectionEditBoxes()","Disables editing of this feature in the controls","Easier UX controls"
"GRM_Macro_Tool.lua","3224","GRM_UI.EnableLevelSelectionEditBoxes()","Enables editing of this feature in the controls","Easier UX controls"
"GRM_Macro_Tool.lua","3236","GRM_UI.EnableRankActivityFrames()","Activates the rule frames as needed","UI quality of life"
"GRM_Macro_Tool.lua","3256","GRM_UI.DisableRankActivityFrames()","Disabled certain rule frame UI features as needed","UI quality of life"
"GRM_Macro_Tool.lua","3275","GRM_UI.ConfigureRankCheckBoxesPromoteAndDemote()","Configures the checkboxes UX experience to adapt over for promotions/demotions","UX"
"GRM_Macro_Tool.lua","3337","GRM_UI.ConfigureCustomRuleKickFrame ( bool , string , bool  )","Configures the values of all the buttons on the custom rules creation window","Keep rules settings displayed properly."
"GRM_Macro_Tool.lua","3777","GRM_UI.ConfigureCustomRulePromoteAndDemoteFrame ( bool , string , bool )","Configures the values of all the buttons on the custom rules creation window","Keep rules settings displayed properly."
"GRM_Macro_Tool.lua","4414","GRM_UI.ConfigureCustomRulePromoteFrame ( bool , string )","Configures the values of all the buttons on the custom rules creation window","Keep rules settings displayed properly."
"GRM_Macro_Tool.lua","4930","GRM_UI.PopulateScaleSelectionDropDown()","Creates a dropdown window for the GRM tool to allow player to select whether to choose months or days in terms of time passed.","Greater flexibility and control to the player"
"GRM_Macro_Tool.lua","4999","GRM_UI.PopularGuildOrRankDropDown()","Creates a dropdown window for the GRM tool rule for promotions on since last rank or since join","Greater flexibility and control to the player"
"GRM_Macro_Tool.lua","5200","GRM_UI.PopulateActivityScaleSelectionDropDown()","Creates a dropdown window for the GRM tool to allow player to select whether to choose months or days in terms of time passed.","Greater flexibility and control to the player filter rules"
"GRM_Macro_Tool.lua","5314","ConfigureMythicDropDownSymbols()","Configures the dropdown menu to accomadate some operators that don't make sense at the edges","Quality of Life settings control"
"GRM_Macro_Tool.lua","5433","ConfigureDropDownSymbols()","Configures the dropdown menu to accomadate some operators that don't make sense at the edges","Quality of Life settings control"
"GRM_Macro_Tool.lua","6348","GRM_UI.ModifyRuleUI()","Adjusts the positioning of the main rules selection filters window and various frames to adjust for kick, promote, and demote filters",""
"GRM_Macro_Tool.lua","6625","GRM_UI.RefreshToolPermissionReport()","Rebuilds the permissions text","UX"
"GRM_Macro_Tool.lua","6654",":         GRM.BuildCustomKickEntries(table)","Creates a list of players to be fed kicked - You can feed it ANY names and it will build the list","Custom use of the macro tool."
"GRM_Macro_Tool.lua","6700",":         GRM.BuildCustomPromoteEntries(table , bool , tableButton)","Creates a list of players to be fed to be promoted - You can feed it ANY names and it will build the list","Custom use of the macro tool."
"GRM_Macro_Tool.lua","6755",":         GRM.BuildCustomDemoteEntries ( table , bool , tableButton)","Creates a list of players to be fed to be Demoted - You can feed it ANY names and it will build the list","Custom use of the macro tool."
"GRM_Macro_Tool.lua","6809","GRM.StartQueuedEntriesScan()","Initiates an async scan for the currently selected rule tab.","To populate GRM_UI.GRM_ToolCoreFrame.QueuedEntries asynchronously."
"GRM_Macro_Tool.lua","6914","GRM.GetListOfQueuedNames()","Returns the list of names in the qued list.","So the player can easily export the names as needed."
"GRM_Macro_Tool.lua","6927","GRM.SetKickQueuedValues ( int , int )","Builds the values of the given line in the window","Quality of life feature."
"GRM_Macro_Tool.lua","6966","GRM.KickQueuedHybridShiftDown()","Shifts all the values DOWN one line to give the illusion of scrolling when in reality this is just a hybrid scrollframe","Clean scrolling"
"GRM_Macro_Tool.lua","6995","GRM.KickQueuedHybridShiftUp()","Shifts all the values up one line to give the illusion of scrolling when in reality this is just a hybrid scrollframe","Clean scrolling"
"GRM_Macro_Tool.lua","7022","GRM.KickQueuedSetLastValue()","Sets the last value of the hybridscrollframe backups at position 16","Clean scrolling"
"GRM_Macro_Tool.lua","7029","GRM.KickQueuedSetFirstValue()","Sets the first value of the hybridscrollframe backups at position 1","Clean scrolling"
"GRM_Macro_Tool.lua","7036","GRM.GetToolTipLine ( table )","Constructs a string based on the rule info, for a tooltip","UX"
"GRM_Macro_Tool.lua","7085","GRM.UpdateQueuedTooltip ( int )","Sets the tooltip for the Queued scrollframe in the GRM kick tool","Make it clear the QoL controls."
"GRM_Macro_Tool.lua","7177","GRM.TriggerKickQueuedWindowRefresh()","Refreshes the GRM Kick Tool's Queued window after hiding the tooltip","Prevent code bloat for something with repeated use."
"GRM_Macro_Tool.lua","7189","GRM.ClearQuedAndMacroFrames()","Quickly clears the existing frames so that they can be reloaded","Useful for async calls so people don't press any buttons whilst brief async function runs"
"GRM_Macro_Tool.lua","7299","GRM.InitializeQuedScrollFrame( bool , bool , table )","Updates the Queued scrollframe as needed. Handles async data fetching.","UX of the GRM mass kick tool"
"GRM_Macro_Tool.lua","7325","GRM.BuildKickQueuedScrollButtons ( int , boolean )","Initiates the buttons and their values for each line of the Queued window of the GRM kick tool's hybridscrollframe","Create a smooth scrolling experience in the GRM kick window"
"GRM_Macro_Tool.lua","7395","GRM.IsMouseStillOverAnyButton ( array )","Returns true if the mouse is still over anothe button in the hybridscrollframe",""
"GRM_Macro_Tool.lua","7415","GRM.IsAnyMacroHighlighted()","It scans t hrough the macros and reports true if any are selected and the number of selected","To adjust the text statement of the button."
"GRM_Macro_Tool.lua","7432","GRM.SetMacroButtonText()","Determines which text messages needs to be set to the button text.","UX quality of life."
"GRM_Macro_Tool.lua","7452","GRM.IsNameBlacklisted ( string )","Returns true if name is on the temp blacklisted list as it has been removed from the macro build.","Keep the purge macro names from being rebuilt into the macro, for this session of the window being open."
"GRM_Macro_Tool.lua","7468","GRM.GetMacroEntries ()","Determines which grouping to import","Proper sorting of players in the guild to be added to the mass kick tool"
"GRM_Macro_Tool.lua","7539","GRM.GetMacroCountForPromoteAndDemote()","Returns the count of the number of times a macro needs to be hit","To inform the player how many times macro must be hit."
"GRM_Macro_Tool.lua","7631","GRM.IsMacroActionComplete()","Checks if any names on the qued list are not blacklist and if so, they are still going to be built into the macro list, thus we know it is not complete","Useful to know when all macro actions have compelted to do a verification they reached destination ranks"
"GRM_Macro_Tool.lua","7645","GRM.PurgeMacrodNames()","Removes the names just macro'd from the list","Rebuild the macros ASAP!"
"GRM_Macro_Tool.lua","7670","GRM.ValidateMacroRecordingSuccess ( bool )","Checks if all of the rank changes matched their destination rank, if not, rescans the roster for changes","To ensure integrity of the roster"
"GRM_Macro_Tool.lua","7713","GRM.SetMacroValues ( int , int )","Builds the values of the given line in the window","Quality of life feature."
"GRM_Macro_Tool.lua","7737","GRM.KickMacrodHybridShiftDown()","Shifts all the values DOWN one line to give the illusion of scrolling when in reality this is just a hybrid scrollframe","Clean scrolling"
"GRM_Macro_Tool.lua","7778","GRM.KickMacrodHybridShiftUp()","Shifts all the values up one line to give the illusion of scrolling when in reality this is just a hybrid scrollframe","Clean scrolling"
"GRM_Macro_Tool.lua","7818","GRM.KickMacrodSetLastValue()","Sets the last value of the hybridscrollframe backups at position 16","Clean scrolling"
"GRM_Macro_Tool.lua","7825","GRM.KickMacrodSetFirstValue()","Sets the first value of the hybridscrollframe backups at position 1","Clean scrolling"
"GRM_Macro_Tool.lua","7832","GRM.UpdateMacrodTooltip()","Sets the tooltip for the Macrod scrollframe in the GRM kick tool","Make it clear the QoL controls."
"GRM_Macro_Tool.lua","7849","GRM.RemoveNamesFromMacroEntries()","Cleans up the macro as needed","UX features for easier use."
"GRM_Macro_Tool.lua","7864","GRM.RMM()","Resets Macro","Clear the macro after each use so it can be rebuilt - prevents double use of macro by spam clicking."
"GRM_Macro_Tool.lua","7872","GRM.BuildMacrodScrollFrame( bool , bool )","Updates the Macrod scrollframe as needed","UX of the GRM mass kick tool"
"GRM_Macro_Tool.lua","7989","GRM.GetHotKeyRecommendationScript ( int )","Gets the proper hotkey message to the player based on the type of macro action, and if plural or singular form","Quality of life and properly grammatic messaging."
"GRM_Macro_Tool.lua","8005","GRM.ResetToolMacrodHighlights()","Unlocks all the highlights","GRM special tool UX"
"GRM_Macro_Tool.lua","8020","GRM.BuildKickMacrodScrollButtons ( int , boolean )","Initiates the buttons and their values for each line of the Macrod window of the GRM kick tool's hybridscrollframe","Create a smooth scrolling experience in the GRM kick window"
"GRM_Macro_Tool.lua","8117","GRM.HowManySafeListsIsPlayerOn ( player )","Returns true of the player is on the safe list of","UI control on the mouseover button tooltip"
"GRM_Macro_Tool.lua","8132","GRM.IsAnyIgnoredHighlighted()","It scans through the Ignored List and reports true if any are selected and the number of selected","To adjust the text statement of the button."
"GRM_Macro_Tool.lua","8149","GRM.SetIgnoredButtonText()","Determines which text messages needs to be set to the Clear Ignored Text","UX quality of life."
"GRM_Macro_Tool.lua","8182","GRM.ResetIgnoredHighlights()","Unlocks all the highlights","GRM special tool UX"
"GRM_Macro_Tool.lua","8197","GRM.GetIgnoredEntries ()","Determines which grouping to import","Proper sorting of players in the guild to be added to the GRM Tool"
"GRM_Macro_Tool.lua","8221","GRM.RemoveHighlightedPlayersFromIgnoredList()","Removes the highlights from the selected names, and sets them to no longer be ignored, and then rebuilds teh frames with that data.","Ability to manage ignore list in mass."
"GRM_Macro_Tool.lua","8262","GRM.ClearAllPlayersFromIgnoreList()","Removes all players from the ignore list","Ease of allowing the player to easily remove all from the ignore list."
"GRM_Macro_Tool.lua","8302","GRM.GetNumIgnored()","Returns the count of total ignored people","To determine the number ignored for UI purposes."
"GRM_Macro_Tool.lua","8321","GRM.IsAnyIgnored()","Returns true if at least one can be ignored - easy check rather than relying on a full count","UX"
"GRM_Macro_Tool.lua","8341","GRM.GetOnlySafePlayersWithIgnoredAction()","Returns the list of players in a proper format for compatibility","Transition these useful lists to the ignored window frames, more for programming ease."
"GRM_Macro_Tool.lua","8359","GRM.SetIgnoredValues ( int , int )","Builds the values of the given line in the window","Quality of life feature."
"GRM_Macro_Tool.lua","8388","GRM.IgnoredHybridShiftDown()","Shifts all the values DOWN one line to give the illusion of scrolling when in reality this is just a hybrid scrollframe","Clean scrolling"
"GRM_Macro_Tool.lua","8430","GRM.IgnoredHybridShiftUp()","Shifts all the values up one line to give the illusion of scrolling when in reality this is just a hybrid scrollframe","Clean scrolling"
"GRM_Macro_Tool.lua","8470","GRM.IgnoredSetLastValue()","Sets the last value of the hybridscrollframe","Clean scrolling"
"GRM_Macro_Tool.lua","8477","GRM.IgnoredSetFirstValue()","Sets the first value of the hybridscrollframe","Clean scrolling"
"GRM_Macro_Tool.lua","8484","GRM.UpdateQueuedTooltip()","Sets the tooltip for the Queued scrollframe in the GRM kick tool","Make it clear the QoL controls."
"GRM_Macro_Tool.lua","8545","GRM.TriggerIgnoredQueuedWindowRefresh()","Refreshes the GRM Tool's Ignored window after hiding the tooltip","Prevent code bloat for something with repeated use."
"GRM_Macro_Tool.lua","8563","GRM.BuildIgnoredScrollFrame( bool , bool )","Updates the Ignored scrollframe as needed","UX of the GRM mass kick tool"
"GRM_Macro_Tool.lua","8641","GRM.BuildIgnoredScrollButtons ( int , boolean )","Initiates the buttons and their values for each line of the Ignored List window","Create a smooth scrolling experience in the GRM Ignored window"
"GRM_Macro_Tool.lua","8727","GRM.GetRulesCount( integer )","Returns the number of rules that already exist","So it can be determined with rule number is being added"
"GRM_Macro_Tool.lua","8744","GRM.RemoveRuleButtonLogic ( string , string )","Removes the given rule","Control over adding and removing rules."
"GRM_Macro_Tool.lua","8759","GRM.AdjustRuleNumbers ( string , string , int )","Adjusts the given rule number","Auto-adjust the rule numbers when deleting to keep them properly sorted"
"GRM_Macro_Tool.lua","8784","GRM.GetKickRule()","Returns the given rule by name","To easily be able to edit the existing rule"
"GRM_Macro_Tool.lua","8791","GRM.GetPromoteRule()","Returns the given rule by name","To easily be able to edit the existing rule"
"GRM_Macro_Tool.lua","8798","GRM.GetDemoteRule()","Returns the given rule by name","To easily be able to edit the existing rule"
"GRM_Macro_Tool.lua","8805","GRM_Macro.GetSpecialRule()","Returns the given rule by name","To easily be able to edit the existing rule"
"GRM_Macro_Tool.lua","8812","GRM.ChangeRuleName ( string , string , string )","Copies the old rule and sets the new one.","Allow the editing of the rule names"
"GRM_Macro_Tool.lua","8821","GRM_Macro.GetMacroRuleGUID ( table )","Builds an integer value for GUID, stores it as a string.","Building a unique GUID for the rule will allow easier syncing on the rule between players without needing to cross check all values"
"GRM_Macro_Tool.lua","8828","GRM.BuildNewKickRuleTemplate( string , int )","Creates a new rules template to be added on confirmation","To easily add new rules."
"GRM_Macro_Tool.lua","8901","GRM.BuildNewPromoteOrDemoteRuleTemplate( string , int )","Creates a new rules template to be added on confirmation","To easily add new rules."
"GRM_Macro_Tool.lua","8991","GRM_Macro.BuildNewSpecialRuleTemplate ( int , string , int )","Builds the special rule template based on the the rule type and returns it.","Easily call new copies of the rules"
"GRM_Macro_Tool.lua","9045","GRM.ValidateRule ( table )","Returns true of the rule contains all of the expected variables in their proper form.","To ensure integrity of the rules."
"GRM_Macro_Tool.lua","9075","GRM.RuleIntegrityCheck()","Scans through all the rules for the macro tool of a player and reports anything wrong, but updates the rule","Prevent lua errors and maintain integrity of the macro rules."
"GRM_Macro_Tool.lua","9086","GRM.IsAnyInTableEnabled ( table )","Takes a boolean 1D array and returns true as long as one value in the array is true","Universal use for multi table checks on the custom rules window"
"GRM_Macro_Tool.lua","9099","GRM.AreAllEnabled( table )","If any of the results are NOT enabled it returns false","UX controls for the custom rules"
"GRM_Macro_Tool.lua","9152","GRM_UI.IsSpecialRuleReady()","When a player hits confirm on the new special rule, it validates it and returns false with reason why if not valid.","Ensure consistency and integrity of data."
"GRM_Macro_Tool.lua","9179","GRM.RulesIntegrityCheck ( int )","Does a quick integrity check on the rule makes sure it is good for us. This will be expanded upon","Ensure integrity of data due to syncing."
"GRM_Macro_Tool.lua","9190","GRM.GetRuleEntries ( int )","Determines which rule grouping to import","Proper sorting of players in the guild to be added to the mass kick tool"
"GRM_Macro_Tool.lua","9225","GRM.ClearRuleHighlights()","Clears the highlights when loading and refreshing the rules each time it is edited.","Clean UX"
"GRM_Macro_Tool.lua","9235","GRM.ClearRuleHighlightsButGiven ( frame )","Clears the highlights of all the buttons that were NOT clicked","Clean UX"
"GRM_Macro_Tool.lua","9250","GRM.IsRuleHighlighted()","Returns true if any of the rules are highlighted","UX controls"
"GRM_Macro_Tool.lua","9269","GRM.ShiftRuleUp ( string )","As it says, shifts the rule up in the rule list","Custom organization of the rules list"
"GRM_Macro_Tool.lua","9295","GRM.ShiftRuleDown( string )","As it says, shifts the rule up in the rule list","Custom organization of the rules list"
"GRM_Macro_Tool.lua","9321","GRM_UI.GetRankRestrictionReport()","Creates Restriction Report for limits of your officer permissions at rank","Easier to report on the player and help them know why they can't do something."
"GRM_Macro_Tool.lua","9346","GRM.BuildRuleButtons ( int , boolean , int )","Initiates the buttons and their values for each line of the Rules window of the GRM macro tool's hybridscrollframe","Create a smooth scrolling experience in the GRM macro tool window"
"GRM_Macro_Tool.lua","9569","GRM.BuildRulesScrollFrame( bool , bool )","Updates the Rules scrollframe as needed","UX of the GRM mass kick tool"
"GRM_Macro_Tool.lua","9665","GRM.SetRuleValues ( int , int )","Builds the values of the given line in the window","Quality of life feature."
"GRM_Macro_Tool.lua","9704","GRM.KickRulesHybridShiftDown()","Shifts all the values DOWN one line to give the illusion of scrolling when in reality this is just a hybrid scrollframe","Clean scrolling"
"GRM_Macro_Tool.lua","9752","GRM.KickRulesHybridShiftUp()","Shifts all the values up one line to give the illusion of scrolling when in reality this is just a hybrid scrollframe","Clean scrolling"
"GRM_Macro_Tool.lua","9798","GRM.KickRulesSetLastValue()","Sets the last value of the hybridscrollframe backups at position 16","Clean scrolling"
"GRM_Macro_Tool.lua","9805","GRM.KickRulesSetFirstValue()","Sets the first value of the hybridscrollframe backups at position 1","Clean scrolling"
"GRM_Macro_Tool.lua","9812","GRM.GetRanksIncludedInFilter ( table )","Returns the name of all the ranks currently being filtered","Custom rule UX controls."
"GRM_Macro_Tool.lua","9830","GRM.UpdateRulesTooltip()","Sets the tooltip for the Queued scrollframe in the GRM kick tool","Make it clear the QoL controls."
"GRM_Macro_Tool.lua","10038","GRM.UpdateSpecialRulesTooltip( int )","Sets the tooltip for the Queued scrollframe in the GRM kick tool","Make it clear the QoL controls."
"GRM_Macro_Tool.lua","10120","GRM.HasTimeExceededDate ( string , int )","Returns true if the player is ready for a rank change based on time passed","Scanning for changes on promotions and demotions"
"GRM_Macro_Tool.lua","10132","GRM.GetSingularOrPluralFormattingForMacroToolMsg ( bool , int , bool )","Returns the proper string before it is translated.","To handle plural and singular formats as a quality of life feature."
"GRM_Macro_Tool.lua","10159","GRM.GetToolTipMessageForInGuildMessage ( bool , int , bool )","Returns the proper string before it is translated.","To handle plural and singular formats as a quality of life feature."
"GRM_Macro_Tool.lua","10550","GRM_UI.GetYourOwnAltHighestRank()","Gets your own toons highest rank","Parallel macro reporting for what your toon can do vs your highest ranked toon."
"GRM_Macro_Tool.lua","10601","GRM_UI.PlayerCanBeMoved ( int , int , int , bool , table )","Returns true if player can move more than 0 positions, and it is for promotion or demotion","Determine if they can be moved and then return how many ranks, as when promoting with the macro tol you can only move 1 rank at a time."
"GRM_Macro_Tool.lua","10627","GRM.GetKickNamesByFilterRulesChunk (table, number, number, boolean|nil, table|nil)","Gets the names that adhere to the given rules for a specific chunk of players,","To populate kick recommendations for ScanRecommendationsList_Async and provide counts for tools."
"GRM_Macro_Tool.lua","10878","GRM.GetPromoteAndDemoteNamesByFilterRulesChunk(ruleTypeIndex, allPlayerNamesSorted, startIndex, chunkSize, includeHigherAlt, highest)","Collects promote/demote recommendations for a chunk, optionally considering higher alts.","For ScanRecommendationsList_Async and tool counts."
"GRM_Macro_Tool.lua","11178","GRM_UI.GetNamesBySpecialRulesChunk(allPlayerNamesSorted, startIndex, chunkSize, includeHigherAlt, highest)","Returns special rule matches for a chunk, optionally considering higher alts.","For ScanRecommendationsList_Async and tool counts."
"GRM_Macro_Tool.lua","11351","GRM.GetKickNamesByFilterRules ( bool , table )","Gets the names that adhere to the given rules","To populate the macro tool"
"GRM_Macro_Tool.lua","11663","GRM.GetPromoteAndDemoteNamesByFilterRules( ind , bool , table )","Collects the names of all the players who match the given rule","Macro Tool use"
"GRM_Macro_Tool.lua","12015","GRM_UI.GetNamesBySpecialRules( bool , table )","Returns the list of players that match the ""special"" rules","Allow the creation of rather unique rules."
"GRM_Macro_Tool.lua","12163","GRM_Macro.GetJumpsMsg ( int , int )","Returns the string message based on number of ranks to move up or down","Special macro tool - clear messaging on tooltip"
"GRM_Macro_Tool.lua","12186","GRM_Macro.GetFullDatabaseAltsWithMain()","Returns a table with the names of all mains, with all their alts underneath","Useful when checking special rules for syncing alt to main rank or designated."
"GRM_Macro_Tool.lua","12221","GRM.SortAltsUnderMain ( table )","Sorts all of the people in the macro tool to be mains, with alts underneath them","Quality of life sorting when looking at the macro tool"
"GRM_Macro_Tool.lua","12320","GRM.RefreshAllMacroToolFrames()","Triggers a refresh of ALL the hybridscrollframes and features of the GRM Macro tool","UX"
"GRM_Macro_Tool.lua","12333","GRM.GetSafePlayers()","Returns the number of players that are set to be ignored on the recommendations macro","It is good to know the count for visual reasons"
"GRM_Macro_Tool.lua","12362","GRM.GetReasonIgnoredMsg ( int , int , int )","Returns the string reason an action cannot occur on the ignore list","To help the player understand why another player cannot be removed."
"GRM_Macro_Tool.lua","12380","GRM.GetHigherRankCountMessage()","Sets the text message if there are actions to do on an alt.","Extra information for player"
"GRM_Macro_Tool.lua","12414","GRM.RefreshMacroToolRuleCount()","Refreshes the UI text count on the macro tool","Update frames on the fly"
"GRM_Macro_Tool.lua","12482","GRM.GetCountOfNamesBeingFilteredScan(function)","Initiates an asynchronous scan to count rule matches.","To get counts for UI elements without blocking."
"GRM_Macro_Tool.lua","12682","GRM.RuleCountsFrameHandler()","Flag control handler for text refresh if using this function with the macro tool","Only refresh the frames IF using macro tool."
"GRM_Macro_Tool.lua","12695","GRM.GetCachedRuleCounts()","Returns the most recently calculated/cached counts.","For immediate UI needs if async update is too slow or not required."
"GRM_Macro_Tool.lua","12721","GRM_UI.UpdateToolButtonText(int,int,int,int,int,int,int,int)","This is the callback that updates the button text once counts are available.","To be called by GRM.GetCountOfNamesBeingFilteredScan upon completion."
"GRM_Macro_Tool.lua","12747","GRM_UI.RefreshToolButtonsOnUpdate_Async( bool , bool )","For the ""OnUpdate"" script handler or triggered manually.","To initiate count refresh for the tool button."
"GRM_Macro_Tool.lua","12787","GRM_UI.InitializeToolsUI()","Controls flow of initializing the frames so they can be used on demand","Keep UI on-demand."
"GRM_Macro_Tool.lua","12806","GRM_UI.RefreshManagementTool( table )","Refreshes the management tool","Compartmentalize the refresh details."
"GRM_Macro_Tool.lua","12825","GRM_UI.RefreshManagementToolDelay()","Holds functions to load AFTER async actions","Control load of frames efficiently."
"GRM_Macro_Tool.lua","12848","GRM_UI.NonAsyncRefresh()","Builds the macro automatically for custom group so it is ready to go","Quality of life for quick right-click actions on the roster"
"GRM_Macro_Tool.lua","12863","GRM_UI.LoadRulesUI()","Rebuilds the options settings... for kick rules","UX easily on call, can be recalled with a rank change too."
"GRM_Macro_Tool.lua","12871","GRM_UI.FullMacroToolRefresh()","Triggers a full refresh of ALL frames, like if the player creates and adds a new rule it will reprocess all","Quality of life, live updating of the UI as changes are made."
"GRM_Macro_Tool.lua","12879","GRM_UI.GRM_ToolCoreFrame()","Handles some on load property controls, if it is a rules load, or you are loading to use the tool for kicking alts or currently banned but still in guild players","UX ease of controls."
"GRM_Macro_Tool.lua","14173","GRM.BuildMacroSyncTooltip()","Builds the tooltip for the sync feature","Information over the macro sync button"
"GRM_Minimap.lua","14","MinimapGRM.MainWindowOpenLogic()","Logic to open GRM's main window from minimap button click","To handle the various conditions for opening GRM's main window, notably I don't want it opening"
"GRM_Minimap.lua","48","MinimapOnEnter( tooltip )","Handles the tooltip display when hovering over the minimap button","To provide users with information about GRM when they hover over the minimap button"
